,ss_id,pv_system_id,provider,installed_capacity_kw
517,13641,73237,solar_sheffield_passiv,2.5
518,13670,73379,solar_sheffield_passiv,2.5
519,13767,73757,solar_sheffield_passiv,2.0
520,13768,73764,solar_sheffield_passiv,1.5
521,13769,73766,solar_sheffield_passiv,3.0
522,13773,73837,solar_sheffield_passiv,2.5
523,13811,73977,solar_sheffield_passiv,3.0
524,13817,74120,solar_sheffield_passiv,2.0
525,13840,74218,solar_sheffield_passiv,3.0
526,14316,75918,solar_sheffield_passiv,3.0
527,14394,76138,solar_sheffield_passiv,2.5
528,14453,76558,solar_sheffield_passiv,2.0
529,14467,76697,solar_sheffield_passiv,2.0
530,14531,77038,solar_sheffield_passiv,2.0
531,14577,77297,solar_sheffield_passiv,3.0
532,14649,77720,solar_sheffield_passiv,3.0
533,14650,77737,solar_sheffield_passiv,3.0
534,14657,78018,solar_sheffield_passiv,3.0
535,14672,78437,solar_sheffield_passiv,2.5
536,14673,78438,solar_sheffield_passiv,2.0
537,14674,78439,solar_sheffield_passiv,2.0
538,14757,78700,solar_sheffield_passiv,3.0
539,14859,79517,solar_sheffield_passiv,2.0
540,14861,79557,solar_sheffield_passiv,2.0
541,14924,79719,solar_sheffield_passiv,2.0
542,15051,80378,solar_sheffield_passiv,2.0
543,15359,82432,solar_sheffield_passiv,3.0
544,15721,83534,solar_sheffield_passiv,2.0
545,15765,83676,solar_sheffield_passiv,2.0
546,15830,83817,solar_sheffield_passiv,2.0
547,15846,83870,solar_sheffield_passiv,2.0
548,15850,83884,solar_sheffield_passiv,2.0
549,15851,83887,solar_sheffield_passiv,2.0
550,15852,83917,solar_sheffield_passiv,2.5
551,16216,84883,solar_sheffield_passiv,2.0
552,16267,85074,solar_sheffield_passiv,2.0
553,16298,85157,solar_sheffield_passiv,2.5
554,16364,85491,solar_sheffield_passiv,3.0
555,16474,86377,solar_sheffield_passiv,2.0
556,16480,86387,solar_sheffield_passiv,2.5
557,16570,86958,solar_sheffield_passiv,3.0
558,16597,87257,solar_sheffield_passiv,2.5
559,16717,87683,solar_sheffield_passiv,2.0
560,16769,87882,solar_sheffield_passiv,2.0
561,16770,87884,solar_sheffield_passiv,2.0
562,16921,88637,solar_sheffield_passiv,3.0
563,17035,89088,solar_sheffield_passiv,2.0
564,17166,89622,solar_sheffield_passiv,2.0
565,17333,90382,solar_sheffield_passiv,3.0
566,17465,90838,solar_sheffield_passiv,4.0
567,17878,91672,solar_sheffield_passiv,3.0
568,18128,92742,solar_sheffield_passiv,2.5
569,18161,92836,solar_sheffield_passiv,2.0
570,18249,93097,solar_sheffield_passiv,2.5
571,18873,94961,solar_sheffield_passiv,4.0
572,18989,95344,solar_sheffield_passiv,2.5
573,18990,95345,solar_sheffield_passiv,3.0
574,22335,104717,solar_sheffield_passiv,3.0
575,26774,6195,solar_sheffield_passiv,3.92
